,track_name,album,artist,release_date,length,popularity,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,genre,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,predicted_genre,actual_genre
4141,Swings And Waterslides,Viola Beach,Viola Beach,2016-07-29,219106,49,0.639,0.7879999999999999,1,-5.1789999999999985,0,0.0344,0.0104,8.72e-06,0.10800000000000001,0.287,119.954,4,Rock,0.639,0.7879999999999999,1.0,-5.1789999999999985,0.0,0.0344,0.0104,8.72e-06,0.10800000000000001,0.287,119.954,4.0,4.0,1.0
4150,Away Days,Away Days,The Skinner Brothers,2020-06-12,179780,30,0.439,0.584,0,-6.5470000000000015,1,0.0379,0.20800000000000002,5.37e-06,0.506,0.0707,80.167,4,Rock,0.439,0.584,0.0,-6.5470000000000015,1.0,0.0379,0.20800000000000002,5.37e-06,0.506,0.0707,80.167,4.0,1.0,1.0
4152,Vitamin C,Felt,Clean Cut Kid,2017-04-28,191653,39,0.629,0.688,1,-5.587999999999999,1,0.0351,0.0113,0.0011099999999999,0.141,0.465,104.01899999999999,4,Rock,0.629,0.688,1.0,-5.587999999999999,1.0,0.0351,0.0113,0.0011099999999999,0.141,0.465,104.01899999999999,4.0,1.0,1.0
4161,Novocaine,Novocaine,The Unlikely Candidates,2019-03-22,245240,64,0.652,0.833,10,-4.898,1,0.0392,0.0019100000000000002,0.000536,0.122,0.231,116.04299999999999,4,Rock,0.652,0.833,10.0,-4.898,1.0,0.0392,0.0019100000000000002,0.000536,0.122,0.231,116.04299999999999,4.0,1.0,1.0
4162,Free Animal,Free Animal,Foreign Air,2016-09-02,180213,59,0.5770000000000001,0.583,5,-7.2570000000000014,0,0.0433,0.0904,0.0,0.0937,0.406,80.002,4,Rock,0.5770000000000001,0.583,5.0,-7.2570000000000014,0.0,0.0433,0.0904,0.0,0.0937,0.406,80.002,4.0,3.0,1.0
4163,Seize the Power,Seize the Power,YONAKA,2021-01-27,161617,63,0.633,0.7879999999999999,5,-4.075,0,0.127,0.0111,1.6e-06,0.0582,0.41200000000000003,134.13,4,Rock,0.633,0.7879999999999999,5.0,-4.075,0.0,0.127,0.0111,1.6e-06,0.0582,0.41200000000000003,134.13,4.0,4.0,1.0
4173,The Mystic,The Mystic,Adam Jensen,2016-11-04,189600,64,0.557,0.721,4,-5.1339999999999995,0,0.0416,0.35600000000000004,0.0,0.146,0.392,125.324,4,Rock,0.557,0.721,4.0,-5.1339999999999995,0.0,0.0416,0.35600000000000004,0.0,0.146,0.392,125.324,4.0,4.0,1.0
4177,Bet on You,Bet on You,The Man Who,2017-03-29,242280,46,0.528,0.679,1,-4.363,1,0.0332,0.00323,6.7e-05,0.132,0.299,157.906,4,Rock,0.528,0.679,1.0,-4.363,1.0,0.0332,0.00323,6.7e-05,0.132,0.299,157.906,4.0,1.0,1.0
4178,Terrible Things,Bangs,Brick + Mortar,2013-01-01,233066,56,0.512,0.915,7,-4.855,1,0.134,0.126,6.75e-05,0.375,0.3829999999999999,150.03799999999995,4,Rock,0.512,0.915,7.0,-4.855,1.0,0.134,0.126,6.75e-05,0.375,0.3829999999999999,150.03799999999995,4.0,4.0,1.0
4186,Vulture Culture,Vulture Culture,Fangclub,2019-07-05,199076,45,0.293,0.917,9,-6.104,1,0.07400000000000001,1.28e-05,0.23800000000000002,0.435,0.504,180.146,4,Rock,0.293,0.917,9.0,-6.104,1.0,0.07400000000000001,1.28e-05,0.23800000000000002,0.435,0.504,180.146,4.0,1.0,1.0
4190,End of It,End of It,Friday Pilots Club,2017-10-23,209514,53,0.6970000000000001,0.551,4,-9.954,0,0.046,0.0132,0.0,0.0604,0.784,100.975,4,Rock,0.6970000000000001,0.551,4.0,-9.954,0.0,0.046,0.0132,0.0,0.0604,0.784,100.975,4.0,1.0,1.0
4192,Highway,Erase You,Bleeker,2016-10-21,201680,55,0.457,0.941,6,-5.1739999999999995,1,0.0339,0.000136,3.12e-06,0.0896,0.7040000000000001,154.03799999999995,4,Rock,0.457,0.941,6.0,-5.1739999999999995,1.0,0.0339,0.000136,3.12e-06,0.0896,0.7040000000000001,154.03799999999995,4.0,1.0,1.0
4194,Watch Me,"Take The World, Vol. 1 - EP",The Phantoms,2016-01-25,214874,58,0.5589999999999999,0.606,0,-6.857,1,0.0321,0.0613,0.0,0.095,0.503,79.98,4,Rock,0.5589999999999999,0.606,0.0,-6.857,1.0,0.0321,0.0613,0.0,0.095,0.503,79.98,4.0,3.0,1.0
4197,KILL IT,KILL IT,VUKOVI,2021-04-16,212081,45,0.36700000000000005,0.872,2,-4.745,1,0.0705,0.0002839999999999,0.0,0.3379999999999999,0.3429999999999999,140.059,4,Rock,0.36700000000000005,0.872,2.0,-4.745,1.0,0.0705,0.0002839999999999,0.0,0.3379999999999999,0.3429999999999999,140.059,4.0,1.0,1.0
4199,Lions Inside,Out For Blood,Valley Of Wolves,2018-01-12,240187,56,0.431,0.649,11,-3.565,0,0.0508,0.466,0.00492,0.102,0.564,167.851,3,Rock,0.431,0.649,11.0,-3.565,0.0,0.0508,0.466,0.00492,0.102,0.564,167.851,3.0,1.0,1.0
4203,Come with Me Now,Lunatic,KONGOS,2014-01-27,211960,67,0.654,0.726,10,-3.803,0,0.0401,0.0311,6.35e-05,0.0618,0.728,103.98700000000001,4,Rock,0.654,0.726,10.0,-3.803,0.0,0.0401,0.0311,6.35e-05,0.0618,0.728,103.98700000000001,4.0,1.0,1.0
4208,River,Church Of Scars,Bishop Briggs,2018-04-20,216133,75,0.733,0.47700000000000004,2,-6.737,0,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,4,Rock,0.733,0.47700000000000004,2.0,-6.737,0.0,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,4.0,5.0,1.0
4212,Backroads (Redux),The Day's War (Victory Edition),Lonely The Brave,2015-06-08,256399,47,0.466,0.536,4,-5.4,1,0.0266,0.0009789999999999,0.000521,0.105,0.0922,77.08,4,Rock,0.466,0.536,4.0,-5.4,1.0,0.0266,0.0009789999999999,0.000521,0.105,0.0922,77.08,4.0,1.0,1.0
4218,Captivate You,The Weird And Wonderful Marmozets,Marmozets,2014-09-26,240666,35,0.401,0.904,11,-5.2970000000000015,0,0.098,0.00038500000000000003,1.63e-06,0.0643,0.251,153.422,4,Rock,0.401,0.904,11.0,-5.2970000000000015,0.0,0.098,0.00038500000000000003,1.63e-06,0.0643,0.251,153.422,4.0,1.0,1.0
4233,Do Your Worst,Feral Roots,Rival Sons,2019-01-25,210493,59,0.392,0.7909999999999999,2,-2.785,1,0.0509,0.0113,1.43e-06,0.326,0.413,83.868,4,Rock,0.392,0.7909999999999999,2.0,-2.785,1.0,0.0509,0.0113,1.43e-06,0.326,0.413,83.868,4.0,1.0,1.0
4236,Toro,I Can Fool Anybody in This Town,Liily,2019-03-08,219341,47,0.43200000000000005,0.878,1,-4.109,1,0.132,0.00315,0.0398,0.11,0.5539999999999999,177.922,4,Rock,0.43200000000000005,0.878,1.0,-4.109,1.0,0.132,0.00315,0.0398,0.11,0.5539999999999999,177.922,4.0,1.0,1.0
4241,Fire Alarm,Castlecomer,Castlecomer,2018-10-05,237453,51,0.513,0.924,9,-4.574,1,0.0503,0.000151,0.0203,0.303,0.52,145.01,4,Rock,0.513,0.924,9.0,-4.574,1.0,0.0503,0.000151,0.0203,0.303,0.52,145.01,4.0,1.0,1.0
4246,2young,oRANGE.,Stop Light Observations,2020-10-21,225814,54,0.7040000000000001,0.6609999999999999,2,-7.697999999999999,1,0.0437,0.1169999999999999,0.0042,0.389,0.47,155.085,4,Rock,0.7040000000000001,0.6609999999999999,2.0,-7.697999999999999,1.0,0.0437,0.1169999999999999,0.0042,0.389,0.47,155.085,4.0,3.0,1.0
